"";"x";"KvK..uit.bestand.2015.";"AGBCODE_INDIENER";"NAAM";"STRAAT";"POSTCODE";"PLAATS";"Hoort.bij";"Naam.zorgaanbieder";"Plaats.zorgaanbieder";"URL.naar.wachttijden";"Vestigingslocatie";"Type.GGZ";"Circuit";"Nadere.typering";"Typering";"Aanmeldtijd";"Behandeltijd";"Datum.actualisatie";"Peildatum";"AFWIJKEND_ZV";"Opmerkingen.MQ";"SGGZ_MEASURE_TYPE";"BGGZ_MEASURE_TYPE";"AGB_SOORT";"MQ_LIJST";"INST";"Wachttijden.toelichting";"Website.vindbaar";"ROW_ID";"grote_instelling"
"1";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia";"BGGZ/SGGZ";"Ouderen";"Ambulante geriatrie teams";"";"3";"5";"15-9-2016";"23-9-2016";"";"De Parnassia Groep bestaat uit verschillende organisaties, die ieder hun eigen wachttijden bijhouden. Een overzicht hiervan vindt u via onderstaande lijst:
Indigo,  Lucertis,  i-psy, PsyQ, Brijder, Bavo Europoort, Dijk en Duin, Parnassia, Palier, De Jutters.
Parnassia Groep heeft een centrale aanmelding";"FULL";"FULL";6;1;1;NA;NA;1;1
"2";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia";"BGGZ/SGGZ";"Ouderen";"Ambulante teams ouderen";"";"3";"3";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;2;1
"3";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia, loc. Den Haag";"BGGZ/SGGZ";"Volwassenen";"GGZ teams";"";"6";"2";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;3;1
"4";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia, loc. Rijswijk";"BGGZ/SGGZ";"Volwassenen";"GGZ teams";"";"12";"2";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;4;1
"5";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia";"BGGZ/SGGZ";"Adolescenten";"Centrum eerste psychose";"";"0";"1";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;5;1
"6";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia";"BGGZ/SGGZ";"Volwassenen";"Sarr Expertisecentrum Autime";"";"16";"3";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;6;1
"7";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia";"BGGZ/SGGZ";"Volwassenen";"OGGZ (TOP)";"crisis";"0";"0";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;7;1
"8";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia";"BGGZ/SGGZ";"Volwassenen";"Transferium";"crisis";"0";"0";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;8;1
"9";1;"24417607";6290832;"PARNASSIA GROEP B.V.                                        ";"Monsterseweg            ";"2553RJ";"'S-GRAVENHAGE           ";NA;"Parnassia Groep";"'s-Gravenhage";"https://www.parnassia.nl/hoe-wij-helpen/wachttijden";"Parnassia";"BGGZ/SGGZ";"Volwassenen";"Verstandelijke beperkingen en psychiatrie";"";"9";"8";"15-9-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;9;1
"10";110;"41158216";6290828;"DE JUTTERS, CENTRUM VOOR JEUGD-GGZ HAAGLANDEN               ";"Postbus                 ";"2506AL";"'S-GRAVENHAGE           ";NA;"De Jutters";"'s-Gravenhage";"https://www.dejutters.com/verwijzers/wachttijden";"";"BGGZ/SGGZ";"Adolescenten";"ADHD, autisme en tics";"";"7";"6";"9-9-2016";"23-9-2016";"";"Sinds januari 2016 is De Jutters gefuseerd met de Parnassia Groep. ";"FULL";"SAMPLE";6;1;1;NA;NA;10;0
"11";110;"41158216";6290828;"DE JUTTERS, CENTRUM VOOR JEUGD-GGZ HAAGLANDEN               ";"Postbus                 ";"2506AL";"'S-GRAVENHAGE           ";NA;"De Jutters";"'s-Gravenhage";"https://www.dejutters.com/verwijzers/wachttijden";"";"BGGZ/SGGZ";"Adolescenten";"Gedragsstoornis (agressie, ODD, CD)";"";"7";"6";"9-9-2016";"23-9-2016";"";"Sinds januari 2016 is De Jutters gefuseerd met de Parnassia Groep. ";"FULL";"SAMPLE";6;1;1;NA;NA;11;0
"12";110;"41158216";6290828;"DE JUTTERS, CENTRUM VOOR JEUGD-GGZ HAAGLANDEN               ";"Postbus                 ";"2506AL";"'S-GRAVENHAGE           ";NA;"De Jutters";"'s-Gravenhage";"https://www.dejutters.com/verwijzers/wachttijden";"";"BGGZ/SGGZ";"Adolescenten";"Psychiatrische stoornis en delictgedrag (forensische psychiatrie)";"forensisch";"2";"6";"9-9-2016";"23-9-2016";"";"Sinds januari 2016 is De Jutters gefuseerd met de Parnassia Groep. ";"FULL";"SAMPLE";6;1;1;NA;NA;12;0
"13";110;"41158216";6290828;"DE JUTTERS, CENTRUM VOOR JEUGD-GGZ HAAGLANDEN               ";"Postbus                 ";"2506AL";"'S-GRAVENHAGE           ";NA;"De Jutters";"'s-Gravenhage";"https://www.dejutters.com/verwijzers/wachttijden";"";"BGGZ/SGGZ";"Adolescenten";"Persoonlijkheidsstoornis en trauma";"";"10";"8";"9-9-2016";"23-9-2016";"";"Sinds januari 2016 is De Jutters gefuseerd met de Parnassia Groep. ";"FULL";"SAMPLE";6;1;1;NA;NA;13;0
"14";110;"41158216";6290828;"DE JUTTERS, CENTRUM VOOR JEUGD-GGZ HAAGLANDEN               ";"Postbus                 ";"2506AL";"'S-GRAVENHAGE           ";NA;"De Jutters";"'s-Gravenhage";"https://www.dejutters.com/verwijzers/wachttijden";"";"BGGZ/SGGZ";"Adolescenten";"Psychiatrische problematiek en licht verstandelijke beperking";"lvb";"2";"6";"9-9-2016";"23-9-2016";"";"Sinds januari 2016 is De Jutters gefuseerd met de Parnassia Groep. ";"FULL";"SAMPLE";6;1;1;NA;NA;14;0
"15";110;"41158216";6290828;"DE JUTTERS, CENTRUM VOOR JEUGD-GGZ HAAGLANDEN               ";"Postbus                 ";"2506AL";"'S-GRAVENHAGE           ";NA;"De Jutters";"'s-Gravenhage";"https://www.dejutters.com/verwijzers/wachttijden";"";"BGGZ/SGGZ";"Adolescenten";"Psychiatrische crisis en ernstige psychiatrische aandoeningen";"crisis";"0";"0";"9-9-2016";"23-9-2016";"";"Sinds januari 2016 is De Jutters gefuseerd met de Parnassia Groep. ";"FULL";"SAMPLE";6;1;1;NA;NA;15;0
"16";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"https://www.arkinbasisggz.nl/hulpaanbod/praktische-informatie/wachttijden/";"Arkin BasisGGz";"BGGZ";"Volwassenen";"psychische en/of lichte verslavingsproblemen";"verslaving";"1";"3";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;16;1
"17";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"https://www.jellinek.nl/behandelingen/praktische-informatie/wachttijden/";"Jellinek";"SGGZ";"Volwassenen";"Verslavingszorg";"";"2";"1,4";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;17;1
"18";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"http://www.mentrum.nl/clienten/wachttijden/";"Mentrum";"SGGZ";"Volwassenen";"Psychiatrie; (Chronische) verslaving; ouderenzorg; bemoeizorg; verstandelijk beperking";"diversen";"2";"3";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;18;1
"19";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"https://www.novarum.nl/praktische-informatie/wachttijden";"Novarum";"SGGZ";"Volwassenen";"Eetstoornissen";"";"5";"4";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"De wachttijd is afhankelijk van een indicatie voor behandeling bij een specifieke behandelaarsgroep: deze wachttijd is bijv. langer bij een psychotherapeut dan bij een basispsycholoog";"FULL";"FULL";6;1;1;NA;NA;19;1
"20";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"http://www.npispecialist.nl/over-het-npi/wachttijden/";"NPI";"SGGZ";"Volwassenen";"Persoonlijkheidsstoornissen";"";"8";"11";"10-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;20;1
"21";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"http://www.puntp.nl/praktische-informatie/wachttijden/";"PuntP";"SGGZ";"Volwassenen";"Psychische problemen";"";"4";"5";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;21;1
"22";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"http://www.puntp.nl/praktische-informatie/wachttijden/";"PuntP";"SGGZ";"Volwassenen";"Bipolair";"";"8";"5";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;22;1
